gene,disease
MAD1L1,prostate cancer
CDCA7,prostate cancer
CASP8,prostate cancer
PPFIBP2,prostate cancer
BCAS1,prostate cancer
MBD2,prostate cancer
COL23A1,prostate cancer
ADGRG1,prostate cancer
DENND4B,prostate cancer
CDH1,prostate cancer
PALB2,breast cancer
XRCC2,breast cancer
RAD51D,breast cancer
CHEK2,breast cancer
ATM,breast cancer
BRCA1,breast cancer
BRCA2,breast cancer
BARD1,breast cancer
RAD50,breast cancer
NBN,breast cancer
SLX4,breast cancer
CHEK1,breast cancer
MLH1,breast cancer
MRE11,breast cancer
MUTYH,breast cancer
RAD51C,breast cancer
RECQL,breast cancer
MSH6,breast cancer
MSH2,breast cancer
MCPH1,breast cancer
PPM1D,breast cancer
CDH1,breast cancer
KLLN,breast cancer
GEN1,breast cancer
EPCAM,breast cancer
SLC22A18,breast cancer
PIK3CA,breast cancer
PMS2,breast cancer
RINT1,breast cancer
RAD54L,breast cancer
BRCA2,breast cancer
BRCA1,breast cancer
DNAJB1,hepatocellular carcinoma
PRKACA,hepatocellular carcinoma
CTNNB1,hepatocellular carcinoma
CTNNB1,hepatocellular carcinoma
TP53,hepatocellular carcinoma
AXIN1,hepatocellular carcinoma
MET,hepatocellular carcinoma
EGF,hepatocellular carcinoma
PDGFRL,hepatocellular carcinoma
PIK3CA,hepatocellular carcinoma
TSC1,hepatocellular carcinoma
TSC2,hepatocellular carcinoma
CASP8,hepatocellular carcinoma
MSH2,colorectal cancer
MLH1,colorectal cancer
MSH6,colorectal cancer
PMS2,colorectal cancer
AXIN2,colorectal cancer
MLH3,colorectal cancer
EPCAM,colorectal cancer
MSH6,colorectal cancer
GALNT12,colorectal cancer
PMS2,colorectal cancer
EPCAM,colorectal cancer
TGFBR2,colorectal cancer
MLH3,colorectal cancer
TGFBR2,colorectal cancer
POLD1,colorectal cancer
MSH2,colorectal cancer
POLE,colorectal cancer
MSH6,colorectal cancer
FAN1,colorectal cancer
MLH3,colorectal cancer
MSH2,colorectal cancer
PMS2,colorectal cancer
FAN1,colorectal cancer
APC,colorectal cancer
KRAS,colorectal cancer
PMS1,colorectal cancer
MSH3,colorectal cancer
EXO1,colorectal cancer
PALB2,colorectal cancer
CHEK2,colorectal cancer
ATM,colorectal cancer
PIK3CA,colorectal cancer
CDH1,colorectal cancer
RPS20,colorectal cancer
SEMA4A,colorectal cancer
BMPR1A,colorectal cancer
CDKN1B,colorectal cancer
CHEK2,colorectal cancer
CTNNA1,colorectal cancer
EPHX1,colorectal cancer
KRAS,colorectal cancer
EPCAM,colorectal cancer
MLH1,colorectal cancer
MSH3,colorectal cancer
ATM,colorectal cancer
PIK3CA,colorectal cancer
PMS1,colorectal cancer
PTPRJ,colorectal cancer
BARD1,colorectal cancer
RPS20,colorectal cancer
SEMA4A,colorectal cancer
NFKBIZ,colorectal cancer
SMARCA4,colorectal cancer
TGFBR2,colorectal cancer
XRCC4,colorectal cancer
PALB2,colorectal cancer
EXO1,colorectal cancer
CDH1,colorectal cancer
CDKN1B,colorectal cancer
CTNNA1,colorectal cancer
EPHX1,colorectal cancer
PTPRJ,colorectal cancer
BARD1,colorectal cancer
RPS20,colorectal cancer
SEMA4A,colorectal cancer
NFKBIZ,colorectal cancer
SMARCA4,colorectal cancer
XRCC4,colorectal cancer
CD44,colorectal cancer
GREM1,colorectal cancer
BMPR1A,colorectal cancer
GREM1,colorectal cancer
BMPR1A,colorectal cancer
CDKN1B,colorectal cancer
CHEK2,colorectal cancer
CTNNA1,colorectal cancer
EPHX1,colorectal cancer
FAN1,colorectal cancer
MLH3,colorectal cancer
MSH3,colorectal cancer
ATM,colorectal cancer
PTPRJ,colorectal cancer
BARD1,colorectal cancer
RPS20,colorectal cancer
SEMA4A,colorectal cancer
NFKBIZ,colorectal cancer
SMARCA4,colorectal cancer
XRCC4,colorectal cancer
PALB2,colorectal cancer
EXO1,colorectal cancer
CDH1,colorectal cancer
FLT3,acute myeloid leukemia
FLT3,acute myeloid leukemia
NPM1,acute myeloid leukemia
NPM1,acute myeloid leukemia
KIT,acute myeloid leukemia
RUNX1T1,acute myeloid leukemia
RUNX1,acute myeloid leukemia
TET2,acute myeloid leukemia
CEBPA,acute myeloid leukemia
IDH1,acute myeloid leukemia
KIT,acute myeloid leukemia
KMT2A,acute myeloid leukemia
MYH11,acute myeloid leukemia
KMT2A,acute myeloid leukemia
CD33,acute myeloid leukemia
CEBPA,acute myeloid leukemia
GATA2,acute myeloid leukemia
IDH2,acute myeloid leukemia
MYC,acute myeloid leukemia
CBFB,acute myeloid leukemia
CD33,acute myeloid leukemia
FLT3,acute myeloid leukemia
KMT2A,acute myeloid leukemia
IDH2,acute myeloid leukemia
FAS,acute myeloid leukemia
